"Timestamp","1. ¿En qué cuatrimestre te encuentras actualmente? ","2. ¿Cuál es tu promedio general actual?","3. ¿Has utilizado alguna herramienta de inteligencia artificial (IA) en tus tareas escolares?","4. ¿Con qué frecuencia usas IA para tus actividades académicas?","5. ¿Qué herramientas de IA has utilizado? (Selecciona todas las que apliquen) 
","6. ¿En qué asignaturas usas más la IA? (Selecciona hasta 3) 
","7. ¿Para qué fines utilizas la IA? (Selecciona todas las que apliquen) 
","8. ¿Crees que usar IA para generar código constituye plagio si se entiende y se modifica la solución? 
","9. ¿Has recibido orientación de tus profesores sobre el uso ético y responsable de la IA? 
","10. ¿Qué opinas sobre la prohibición de usar IA en exámenes o tareas evaluadas? 
","11. ¿Te sientes más productivo al usar IA? ","12. ¿Confías plenamente en las respuestas que te da la IA? ","13. ¿Qué te gustaría que los profesores o la institución hicieran respecto al uso de la inteligencia artificial en clase?
(Respuesta abierta, hasta 150 palabras)","14. ¿Tienes alguna experiencia positiva o negativa que quieras compartir sobre el uso de IA en tus estudios?
(Respuesta abierta, hasta 150 palabras)"
"2025/09/04 10:17:13 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 8.0 a 8.9","Sí","Diariamente","ChatGPT (OpenAI);Gemini (Google)","Ciencias Básicas (Matemáticas, Física)","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales);Resolver ejercicios o problemas;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","No, me distrae","En parte, luego las verifico","Sinceramente la IA la estamos tomando mas como algo que haga las cosas por nosotros, en lo personal hay ocasiones en las que yo nada mas le digo a IA lo que quiero a veces lo leo a veces no simplemente por entregar los trabajos. Pero si me piden hacer alguna cosa no la se hacer. Entiendo que es una herramienta pero hay ocasiones que ya uno se va por lo mas fácil. Esta bien usarla es una herramienta pero yo creo que es necesario que nos eduquen en cuestión de como usarla para nosotros también pensar.","Positiva seria que gracias a ella e pasado varias materias y negativas pues que no pienso ya espero que todo lo resuelva la IA y que a su vez esta aun le falta aprender mas por que hay en ocasiones que en matemáticas le pides que haga el mismo problema y te da diferentes resultados"
"2025/09/04 10:24:50 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Otra","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Otra","Depende del contexto","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","Sí, mucho más","En parte, luego las verifico","La ayuda es diferente a hacer el trabajo por completo. La IA puede agilizar el aprendizaje y el automatizar tareas repetitivas pero en esta etapa de formación nunca dejarle el pensamiento analítico y lógico. Con eso dicho diría constantes pruebas sin IA ","Generar cosas tediosas como diccionarios amplios o inserción de datos MySQL con múltiples inserts. Sería algo positivo.
Negativo sería falta de memoria en datos generados o cambiarlos"
"2025/09/04 9:14:22 pm GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot","Desarrollo Humano y Valores;Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Crear documentación (comentarios, manuales);Resolver ejercicios o problemas","Sí, siempre es plagio","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","No, me distrae","En parte, luego las verifico","Administrar en qué momento se puede utilizar 



","Si claro es positivo porque ayuda mucho a la realización de documentos y tareas más rápidas y información más eficiente "
"2025/09/05 10:21:04 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","Menos de 8.0","Sí","Una vez por semana","ChatGPT (OpenAI);Gemini (Google);Claude (Anthropic)","Desarrollo Humano y Valores;Bases de Datos;Desarrollo de Aplicaciones Web/Móviles","Generar código;Explicar conceptos complejos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","Sí, con frecuencia","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, mucho más","En parte, luego las verifico","Enseñar formas de usar la ia para aprender de una manera más rápida","No tengo alguna"
"2025/09/05 10:21:15 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 9.0 a 10.0","Sí","Ocasionalmente","ChatGPT (OpenAI);GitHub Copilot","Otra","Explicar conceptos complejos;Otra","Sí, siempre es plagio","Sí, con frecuencia","Es necesaria para garantizar la honestidad académica","Sí, un poco más","En parte, luego las verifico","El prohibir su uso es indispensable ya que la mayoría de las veces no se lee el contenido pero también dar oportunidad a utilizarla de manera adecuada para un aprendizaje autónomo ","En lo personal creo que le eh dado un uso ""adecuado"" sin embargo creo que hay que crear conciencia de que su uso únicamente debería de ser para tareas sencillas ya que debemos de mejorar por nuestra cuenta las habilidades necesarias para tener un mejor uso de cualquier información vista o aprendida en la universidad sin necesidad de depender de algún tipo de IA"
"2025/09/05 10:21:56 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google)","Desarrollo Humano y Valores;Bases de Datos;Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos","No, si se entiende y se adapta, no es plagio","Sí, con frecuencia","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Creo que se debería de dar instrucciones sobre su manejo adecuado y ético para poderlos aprovechar mucho mejor.","Personalmente prefiero investigar primero por mi cuenta y al no encontrar lo que busco uso cómo último recurso la IA, entonces hasta el momento no he tenido experiencias negativas con respecto a ellos."
"2025/09/05 10:23:01 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Diariamente","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Microsoft Bing AI / Copilot;Claude (Anthropic)","Bases de Datos;Ciencias Básicas (Matemáticas, Física);Otra","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, mucho más","En parte, luego las verifico","Aceptar que forma parte del entorno, emplearla en conceptos técnicos o complejos como apoyo al método de enseñanza.","Al estar en una carrera con muchísima documentación (no siempre disponible en nuestro idioma), me han servido mucho las opciones de investigación de la inteligencia artificial cuando se trata de comprender y aplicar conceptos que no conozco del todo bien."
"2025/09/05 10:23:05 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google);Microsoft Bing AI / Copilot","Desarrollo Humano y Valores;Ciencias Básicas (Matemáticas, Física)","Explicar conceptos complejos;Traducir o redactar textos técnicos","Depende del contexto","Sí, en alguna ocasión","No tengo opinión formada","No noto diferencia","En parte, luego las verifico","Que digan de que manera se puede usar correctamente sin que afecte","Pues positiva ya que recopilo informacion y con ayuda de ia hago algo mas especifico y corto de toda la informacion reunida"
"2025/09/05 10:23:29 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 9.0 a 10.0","Sí","Una vez por semana","Gemini (Google)","Ciencias Básicas (Matemáticas, Física)","Explicar conceptos complejos;Traducir o redactar textos técnicos;Preparar presentaciones","Depende del contexto","Sí, con frecuencia","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, mucho más","En parte, luego las verifico","Explicar y ayudar a su uso de manera correcta","Me ayuda a comprender temas que requieren explicaciones tecnicas"
"2025/09/05 10:24:30 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Una vez por semana","ChatGPT (OpenAI);Claude (Anthropic)","Ciencias Básicas (Matemáticas, Física);Redacción de Informes Técnicos","Explicar conceptos complejos;Traducir o redactar textos técnicos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, un poco más","En parte, luego las verifico","enseñar a usarla de manera adecuada, y de la manera correcta, para que asi pueda ayudarnos en nuestras actividades","pues en parte es neutral, ya que la IA puede ser buena o mala dependiendo de la persona que lo use, si lo usa solamente para entregar con lo acordado, o si realmente aprende con lo que da la IA "
"2025/09/05 10:24:37 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Una vez por semana","ChatGPT (OpenAI);Claude (Anthropic);Otra","Otra","Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales)","No, si se entiende y se adapta, no es plagio","Sí, con frecuencia","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, un poco más","En parte, luego las verifico","Con que no la prohiban","La verdad es que no"
"2025/09/05 10:24:41 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Microsoft Bing AI / Copilot;Claude (Anthropic)","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales);Preparar presentaciones","Depende del contexto","Sí, en alguna ocasión","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, mucho más","No, siempre las reviso y modifico","Nada, la inteligencia artificial ya es parte de la vida, siempre y cuando se revise y se aprenda, una de las formas de asegurarlo es dejándola usar y al final hacer el examen de conocimientos, dependiendo de los resultados del mismo se evalúa el uso de la IA y si el alumno aprende o está usándola mal","Siempre abra altas y bajas el truco es leer y comprender que nos quiere decir la IA "
"2025/09/05 10:26:26 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","Menos de 8.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google)","Desarrollo Humano y Valores;Ciencias Básicas (Matemáticas, Física);Proyectos de Integración","Depurar o corregir errores en código;Explicar conceptos complejos","Depende del contexto","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, un poco más","En parte, luego las verifico","Poner reglas claras sobre su uso.","No de momento."
"2025/09/05 10:26:51 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 8.0 a 8.9","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google)","Bases de Datos;Ciencias Básicas (Matemáticas, Física);Desarrollo de Aplicaciones Web/Móviles","Generar código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales)","Depende del contexto","No sé si es necesario","Debería permitirse con reglas claras","Sí, un poco más","En parte, luego las verifico","Que las traten de implementar y acoplar como una herramienta correcta.",""
"2025/09/05 10:27:20 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales);Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, un poco más","No, siempre las reviso y modifico","Implementación en las clases para mejorar el desempeño y aprendizaje de los alumnos.","No, ninguna."
"2025/09/05 10:29:47 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot","Desarrollo Humano y Valores;Proyectos de Integración;Redacción de Informes Técnicos;Otra","Explicar conceptos complejos;Traducir o redactar textos técnicos;Preparar presentaciones;Otra","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es necesaria para garantizar la honestidad académica","Sí, un poco más","En parte, luego las verifico","Más bien que nos enseñaran a usarla correctamente ","La inteligencia artificial a tenido un gran impacto ya que muchas personas en este caso estudiantes la usan de mal manera, pero si se se usa correctamente la IA puede ayudarnos en el día a día. En los estudios me a ayudado demasiado en estudiar y preparar presentaciones. "
"2025/09/05 10:30:07 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Otra","Desarrollo Humano y Valores;Ciencias Básicas (Matemáticas, Física)","Explicar conceptos complejos;Traducir o redactar textos técnicos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","Sí, con frecuencia","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Con lo que esta declarado por la universidad, estoy de acuerdo ","Las primeras veces no verificaba la información obtenida y había ciertos errores "
"2025/09/05 10:30:23 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Microsoft Bing AI / Copilot","Desarrollo Humano y Valores;Proyectos de Integración;Redacción de Informes Técnicos","Explicar conceptos complejos;Crear documentación (comentarios, manuales);Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, un poco más","No, siempre las reviso y modifico","Que implementarán la IA en las sesiones para mejorar el rendimiento y aprendizaje de los alumnos.","No, ninguna."
"2025/09/05 10:32:08 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Varias veces por semana","ChatGPT (OpenAI);GitHub Copilot","Desarrollo Humano y Valores;Redacción de Informes Técnicos","Crear documentación (comentarios, manuales);Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, mucho más","No, siempre las reviso y modifico","entiendo que el uso de la ia puede afectar a nuestro desarrollo y es útil pedir modificaciones o explicaciones de nuestra parte sobre nuestro trabajo, demostrando que el uso de la ia fue con responsabilidad, y no simplemente se copio.","la ia me ha ayudado en la creación de documentación y presentaciones principalmente, pero constantemente incluía errores básicos pero simples de arreglar"
"2025/09/05 10:32:17 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot","Bases de Datos;Desarrollo de Aplicaciones Web/Móviles","Depurar o corregir errores en código;Crear documentación (comentarios, manuales);Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, con frecuencia","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Solamente orientar para usarlas mejor y sacarles buen provecho","ninguna, solo trato de usarla de muletilla y hacer las cosas por mi cuenta"
"2025/09/05 10:33:46 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI)","Desarrollo Humano y Valores;Bases de Datos;Proyectos de Integración","Depurar o corregir errores en código;Explicar conceptos complejos","Depende del contexto","No sé si es necesario","No tengo opinión formada","Sí, un poco más","En parte, luego las verifico","permitir con ciertas reglas el uso de la ia, puesto que sirve para un uso medido","pues me ayudo con la genreacion de presentaciones y generar documentos para materias de desarrollo humano"
"2025/09/05 10:34:20 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 9.0 a 10.0","Sí","Ocasionalmente","ChatGPT (OpenAI)","Redacción de Informes Técnicos","Explicar conceptos complejos;Crear documentación (comentarios, manuales)","No, si se entiende y se adapta, no es plagio","Sí, con frecuencia","Es necesaria para garantizar la honestidad académica","Sí, mucho más","En parte, luego las verifico","Personalmente, uso la IA para estudiar y corregir mi ortografía y sintaxis, ya que tengo muchas faltas. Así, intento aprender y comprender todo lo que genero con ella","La IA no es perfecta, por lo que a menudo es necesario corregir su respuesta o formato, lo cual puede ser molesto."
"2025/09/05 10:35:06 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Otra","Desarrollo Humano y Valores;Bases de Datos;Ciencias Básicas (Matemáticas, Física);Desarrollo de Aplicaciones Web/Móviles;Proyectos de Integración;Redacción de Informes Técnicos;Otra","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales);Resolver ejercicios o problemas;Preparar presentaciones;Otra","Depende del contexto","No, nunca","Debería permitirse con reglas claras","Sí, mucho más","En parte, luego las verifico","adaptarlas ya que puede ser un motor de búsqueda de información mas eficiente ya que te filtra mas todo el contexto claro verificando siempre que la información sea prudente ","Ahí trabajos que se pueden hacer más sencillos y puedes comprender mejor la información ya que dependiendo como se lo pidas a la IA te la puede dar de la forma en la que tu mejor entiendas. O incluso ser mas comprensible que algunos maestros que se incomodan si les preguntas por contextos previamente vistos en clase "
"2025/09/05 10:35:17 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 9.0 a 10.0","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google)","Desarrollo Humano y Valores;Ciencias Básicas (Matemáticas, Física)","Explicar conceptos complejos;Traducir o redactar textos técnicos","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, un poco más","En parte, luego las verifico","Se puede usar, siempre y cuando sea para entender más el tema o explorar más de este. ","Me ha ayudado más a entender cosas que en clase no entiendo, he aprendido más sobre mi carrera con IAs que en clase y eso es preocupante (obviamente con cuidado)"
"2025/09/05 10:37:22 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 9.0 a 10.0","Sí","Una vez por semana","ChatGPT (OpenAI);Claude (Anthropic)","Bases de Datos;Ciencias Básicas (Matemáticas, Física);Desarrollo de Aplicaciones Web/Móviles;Proyectos de Integración","Explicar conceptos complejos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","No, nunca","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, un poco más","No, siempre las reviso y modifico","Dar orientaciones sobre el uso correcto de la IA, y el alcance que se podría tener en cualquier contexto.",""
"2025/09/05 10:38:56 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google)","Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Explicar conceptos complejos;Traducir o redactar textos técnicos;Crear documentación (comentarios, manuales);Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, con frecuencia","Es necesaria para garantizar la honestidad académica","Sí, un poco más","En parte, luego las verifico","Corroborar por medio de preguntas que el estudiante leyó sobre el tema y que aunque le haya solicitado la información a la IA, tenga los conocimientos sobre el tema.","Sí, cuando he tenido que trabajar en equipo para la elaboración de algun documento de investigación o alguna exposición, algunos compañeros de equipo pueden llegar a abusar del uso de IA al grado de no leer ni saber qué información están incluyendo y suelo ser yo quien tenga que corregirlo, por lo que es más carga de trabajo."
"2025/09/05 10:39:14 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);GitHub Copilot","Ciencias Básicas (Matemáticas, Física);Desarrollo de Aplicaciones Web/Móviles","Depurar o corregir errores en código;Explicar conceptos complejos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, mucho más","No, siempre las reviso y modifico","Que impartieran clase sobre el buen uso y que es una herramienta que si se usa de buena manera nos ayuda demasiado","Me paso que no siempre las respuestas estan correctas y por ello tienes que leer y entender bien el tema"
"2025/09/05 10:39:22 am GMT-6","Tercer ciclo de formación (7-9 cuatrimestre)","De 8.0 a 8.9","Sí","Diariamente","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot","Ciencias Básicas (Matemáticas, Física)","Explicar conceptos complejos;Crear documentación (comentarios, manuales);Resolver ejercicios o problemas","Depende del contexto","Sí, con frecuencia","No tengo opinión formada","Sí, un poco más","En parte, luego las verifico","Orientar a los alumnos sobre su uso correcto, para de esta manera evitar que los alumnos dependan completamente de un IA","Ninguna"
